Name,KOI
Kepler-1315 b,K02694.01
Kepler-1316 b,K02698.01
Kepler-1317 b,K02699.01
Kepler-1318 b,K02703.01
Kepler-1319 A b,K02705.01
Kepler-132 A b,K00284.03
Kepler-132 A c,K00284.02
Kepler-132 A d,K00284.01
Kepler-132 A e,K00284.04
Kepler-1320 b,K02708.01
Kepler-1321 b,K02715.01
Kepler-1321 c,K02715.02
Kepler-1322 b,K02716.01
Kepler-1323 b,K02717.01
Kepler-1324 b,K02719.01
Kepler-1325 b,K02721.01
Kepler-1326 b,K02728.01
Kepler-1327 b,K02729.01
Kepler-1328 b,K02730.01
Kepler-1329 b,K02736.01
Kepler-133 b,K00291.02
Kepler-133 c,K00291.01
Kepler-1330 b,K02739.01
Kepler-1331 b,K02742.01
Kepler-1332 b,K02743.01
Kepler-1333 b,K02744.01
Kepler-1334 b,K02745.01
Kepler-1335 b,K02747.01
Kepler-1336 b,K02748.01
Kepler-1336 c,K02748.02
Kepler-1337 b,K02751.01
Kepler-1338 b,K02753.01
Kepler-1339 b,K02754.01
Kepler-134 b,K00295.01
Kepler-134 c,K00295.02
Kepler-1340 b,K02756.01
Kepler-1341 A b,K02762.01
Kepler-1342 b,K02778.01
Kepler-1343 b,K02780.01
Kepler-1344 b,K02785.01
Kepler-1345 b,K02786.01
Kepler-1346 b,K02789.01
Kepler-1347 b,K02790.01
Kepler-1348 b,K02791.01
Kepler-1349 b,K02792.01
Kepler-135 b,K00301.01
Kepler-135 c,K00301.02
Kepler-1350 b,K02793.01
Kepler-1350 c,K02793.02
Kepler-1351 b,K02798.01
Kepler-1352 b,K02805.01
Kepler-1353 b,K02806.01
Kepler-1354 b,K02812.01
Kepler-1355 b,K02816.01
Kepler-1356 b,K02817.01
Kepler-1357 b,K02820.01
Kepler-1358 b,K02827.01
Kepler-1359 b,K02828.01
Kepler-136 A b,K00312.01
Kepler-136 A c,K00312.02
Kepler-1360 b,K02830.01
Kepler-1361 b,K02832.01
Kepler-1362 b,K02834.01
Kepler-1363 b,K02836.01
Kepler-1364 b,K02837.01
Kepler-1365 b,K02838.01
Kepler-1365 c,K02838.02
Kepler-1366 b,K02839.01
Kepler-1367 b,K02845.01
Kepler-1368 b,K02852.01
Kepler-1369 b,K02856.01
Kepler-137 b,K00313.02
Kepler-137 c,K00313.01
Kepler-1370 b,K02857.01
Kepler-1370 c,K02857.02
Kepler-1371 b,K02859.01
Kepler-1371 c,K02859.02
Kepler-1372 b,K02865.01
Kepler-1373 b,K02866.01
Kepler-1374 b,K02868.01
Kepler-1375 b,K02869.01
Kepler-1376 b,K02877.01
Kepler-1377 b,K02880.01
Kepler-1378 b,K02883.01
Kepler-1379 b,K02886.01
Kepler-138 b,K00314.03
Kepler-138 c,K00314.01
Kepler-138 d,K00314.02
Kepler-1380 b,K02894.01
Kepler-1381 b,K02898.01
Kepler-1382 b,K02904.01
Kepler-1383 b,K02906.01
Kepler-1384 b,K02910.01
Kepler-1385 b,K02913.01
Kepler-1386 b,K02920.01
Kepler-1387 b,K02924.01
Kepler-1388 b,K02926.01
Kepler-1388 c,K02926.02
Kepler-1388 d,K02926.03
Kepler-1388 e,K02926.04
Kepler-1389 b,K02931.01
Kepler-139 b,K00316.01
Kepler-139 c,K00316.02
Kepler-1390 b,K02936.01
Kepler-1391 b,K02943.01
Kepler-1392 b,K02946.01
Kepler-1393 b,K02951.01
Kepler-1394 b,K02956.01
Kepler-1395 b,K02961.01
Kepler-1396 b,K02963.01
Kepler-1397 b,K02964.01
Kepler-1398 b,K02977.01
Kepler-1398 c,K02977.02
Kepler-1399 b,K02980.01
Kepler-14 b,K00098.01
Kepler-140 b,K00327.01
Kepler-140 c,K00327.02
Kepler-1400 b,K02981.01
Kepler-1401 b,K02990.01
Kepler-1402 b,K02994.01
Kepler-1403 b,K02995.01
Kepler-1404 b,K02996.01
Kepler-1405 b,K02998.01
Kepler-1406 b,K03002.01
Kepler-1407 b,K03004.01
Kepler-1408 b,K03008.01
Kepler-1409 b,K03009.01
Kepler-141 b,K00338.02
Kepler-141 c,K00338.01
Kepler-1410 b,K03010.01
Kepler-1411 b,K03014.01
Kepler-1412 b,K03015.01
Kepler-1413 b,K03025.01
Kepler-1414 b,K03026.01
Kepler-1415 b,K03032.01
Kepler-1416 b,K03038.01
Kepler-1417 b,K03039.01
Kepler-1418 b,K03049.01
Kepler-1419 b,K03053.01
Kepler-142 b,K00343.02
Kepler-142 c,K00343.01
Kepler-142 d,K00343.03
Kepler-1420 b,K03056.01
Kepler-1421 b,K03060.01
Kepler-1422 b,K03063.01
Kepler-1423 b,K03071.01
Kepler-1424 b,K03093.01
Kepler-1425 b,K03096.01
Kepler-1426 b,K03101.01
Kepler-1427 b,K03106.01
Kepler-1428 b,K03109.01
Kepler-1429 b,K03110.01
Kepler-143 b,K00352.02
Kepler-143 c,K00352.01
Kepler-1430 b,K03113.01
Kepler-1431 b,K03115.01
Kepler-1432 b,K03116.01
Kepler-1433 b,K03120.01
Kepler-1434 b,K03122.01
Kepler-1435 b,K03125.01
Kepler-1436 b,K03127.01
Kepler-1437 b,K03131.01
Kepler-1438 b,K03141.01
Kepler-1439 b,K03144.01
Kepler-144 b,K00369.01
Kepler-144 c,K00369.02
Kepler-1440 b,K03146.01
Kepler-1441 b,K03147.01
Kepler-1442 b,K03220.01
Kepler-1443 b,K03234.01
Kepler-1444 b,K03237.01
Kepler-1445 b,K03245.01
Kepler-1446 b,K03246.01
Kepler-1447 b,K03260.01
Kepler-1448 b,K03261.01
Kepler-1449 b,K03262.01
Kepler-145 b,K00370.02
Kepler-145 c,K00370.01
Kepler-1450 b,K03266.01
Kepler-1451 b,K03274.01
Kepler-1452 b,K03277.01
Kepler-1453 b,K03280.01
Kepler-1454 b,K03281.01
Kepler-1455 b,K03282.01
Kepler-1456 b,K03286.01
Kepler-1457 b,K03287.01
Kepler-1458 b,K03288.01
Kepler-1459 b,K03296.01
Kepler-146 b,K00386.01
Kepler-146 c,K00386.02
Kepler-1460 b,K03298.01
Kepler-1461 b,K03303.01
Kepler-1462 b,K03305.01
Kepler-1463 b,K03306.01
Kepler-1464 b,K03308.01
Kepler-1464 c,K03308.02
Kepler-1465 b,K03311.01
Kepler-1466 b,K03315.01
Kepler-1467 b,K03316.01
Kepler-1468 b,K03319.02
Kepler-1468 c,K03319.03
Kepler-1469 b,K03324.01
Kepler-147 b,K00392.02
Kepler-147 c,K00392.01
